Id,SalePrice
1,250000
2,140000
3,250000
4,110000
5,250000
6,131000
7,250000
8,140000
9,140000
10,135000
11,135000
12,140000
13,144000
14,250000
15,140000
16,155000
17,140000
18,135000
19,145000
20,112000
21,250000
22,141000
23,250000
24,135000
25,135000
26,250000
27,145000
28,250000
29,135000
30,89000
31,135000
32,135000
33,250000
34,250000
35,140000
36,250000
37,135000
38,135000
39,135000
40,135000
41,140000
42,135000
43,140000
44,135000
45,135000
46,140000
47,250000
48,250000
49,140000
50,135000
51,177000
52,140000
53,110000
54,250000
55,110000
56,140000
57,140000
58,250000
59,250000
60,135000
61,140000
62,135000
63,140000
64,140000
65,250000
66,250000
67,140000
68,250000
69,135000
70,140000
71,140000
72,177000
73,140000
74,135000
75,135000
76,145000
77,135000
78,135000
79,135000
80,135000
81,250000
82,140000
83,250000
84,112000
85,140000
86,250000
87,250000
88,140000
89,140000
90,135000
91,135000
92,135000
93,135000
94,140000
95,250000
96,140000
97,250000
98,135000
99,112000
100,135000
101,250000
102,250000
103,135000
104,250000
105,140000
106,250000
107,135000
108,135000
109,135000
110,140000
111,135000
112,140000
113,140000
114,133000
115,250000
116,140000
117,135000
118,140000
119,250000
120,250000
121,143000
122,135000
123,135000
124,140000
125,140000
126,135000
127,140000
128,135000
129,140000
130,135000
131,250000
132,250000
133,145000
134,250000
135,135000
136,140000
137,135000
138,140000
139,250000
140,250000
141,135000
142,250000
143,135000
144,250000
145,140000
146,140000
147,135000
148,250000
149,130000
150,135000
151,135000
152,250000
153,140000
154,180000
155,135000
156,135000
157,135000
158,140000
159,250000
160,250000
161,155000
162,140000
163,250000
164,135000
165,110000
166,135000
167,112000
168,140000
169,250000
170,140000
171,135000
172,140000
173,133000
174,172500
175,140000
176,250000
177,140000
178,250000
179,140000
180,135000
181,140000
182,140000
183,135000
184,250000
185,135000
186,140000
187,140000
188,135000
189,135000
190,140000
191,140000
192,250000
193,250000
194,140000
195,135000
196,140000
197,140000
198,140000
199,135000
200,140000
201,135000
202,140000
203,140000
204,187500
205,135000
206,155000
207,135000
208,135000
209,143000
210,155000
211,135000
212,250000
213,250000
214,135000
215,135000
216,135000
217,250000
218,135000
219,250000
220,140000
221,140000
222,250000
223,140000
224,135000
225,140000
226,112000
227,250000
228,135000
229,135000
230,140000
231,135000
232,140000
233,140000
234,135000
235,250000
236,135000
237,250000
238,250000
239,140000
240,140000
241,250000
242,135000
243,135000
244,140000
245,250000
246,140000
247,135000
248,140000
249,250000
250,177000
251,135000
252,140000
253,250000
254,140000
255,135000
256,250000
257,250000
258,250000
259,250000
260,135000
261,140000
262,140000
263,140000
264,135000
265,135000
266,250000
267,140000
268,135000
269,180000
270,140000
271,250000
272,143000
273,250000
274,140000
275,131000
276,144000
277,250000
278,135000
279,140000
280,140000
281,250000
282,140000
283,140000
284,250000
285,140000
286,140000
287,250000
288,135000
289,135000
290,144000
